epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,932.342,0.45467,3.33968,0.38424,0.32993,1.25812,0.97233,1,0.97526,0.88167,0.81474,0.83784,0.74982,0.25932,0.59702,3.59694,0.175,0.44803,1.4969,0.000427509,0.000427509,0.000427509
27,970.161,0.47689,3.3437,0.3803,0.36845,1.29239,0.97229,1,0.96882,0.89607,0.8409,0.86486,0.77701,0.3339,0.46726,3.12143,0.2031,0.42419,1.32953,0.000421925,0.000421925,0.000421925
28,1010.1,0.44634,3.14524,0.36622,0.33695,1.25571,0.97229,1,0.96947,0.90424,0.8409,0.86486,0.80611,0.34818,0.46612,3.09757,0.15046,0.38188,1.32467,0.000416175,0.000416175,0.000416175
29,1053.5,0.44903,3.1928,0.36449,0.32941,1.24568,0.97224,1,0.97605,0.88568,0.84115,0.86486,0.85891,0.33163,0.44623,3.24194,0.14846,0.3567,1.37583,0.000410262,0.000410262,0.000410262
30,1084.54,0.4536,3.16149,0.35725,0.34204,1.2518,0.97219,1,0.97947,0.89009,0.84081,0.86486,0.82785,0.38874,0.60431,3.11307,0.1836,0.46698,1.42265,0.000404194,0.000404194,0.000404194
31,1116.08,0.426,3.06025,0.35456,0.33187,1.23429,0.97228,1,0.98579,0.88774,0.84089,0.86486,0.8308,0.36471,0.44051,3.14096,0.14457,0.35256,1.3657,0.000397977,0.000397977,0.000397977
32,1147.29,0.44643,3.02876,0.35964,0.32956,1.24774,0.97212,1,0.97158,0.88583,0.84075,0.86486,0.79427,0.35053,0.45859,3.28997,0.13343,0.38404,1.51297,0.000391616,0.000391616,0.000391616
33,1195.97,0.41975,3.17138,0.36243,0.33203,1.22259,0.97232,1,0.97816,0.89066,0.84093,0.86486,0.80888,0.35686,0.56592,3.1219,0.14158,0.36979,1.53365,0.000385117,0.000385117,0.000385117
34,1236.93,0.41283,3.16368,0.36323,0.33345,1.22069,0.97222,1,0.98237,0.90718,0.84084,0.86486,0.81141,0.3834,0.44902,3.06484,0.14129,0.38314,1.29969,0.000378488,0.000378488,0.000378488
35,1288.37,0.39147,2.92867,0.3409,0.30853,1.20317,0.97231,1,0.97105,0.90537,0.84092,0.86486,0.80519,0.40551,0.38677,2.93793,0.10956,0.35449,1.26302,0.000371734,0.000371734,0.000371734
